'l	60.0	r
l'	60.0	r
'o	60.0	r
o'	60.0	r
'h	60.0	r
h'	60.0	r
69	65.0	r
96	65.0	r
rz	65.0	l
zr	65.0	l
gx	65.0	l
xg	65.0	l
fx	65.0	l
xf	65.0	l
4w	65.0	l
w4	65.0	l
.j	65.0	r
j.	65.0	r
15	65.0	l
51	65.0	l
dq	65.0	l
qd	65.0	l
st	65.0	l
ts	65.0	l
iy	65.0	r
yi	65.0	r
8;	65.0	r
;8	65.0	r
bc	65.0	l
cb	65.0	l
/i	65.0	r
i/	65.0	r
9i	65.0	r
i9	65.0	r
0h	65.0	r
h0	65.0	r
/h	70.0	r
h/	70.0	r
;y	70.0	r
y;	70.0	r
bs	70.0	l
sb	70.0	l
bz	70.0	l
zb	70.0	l
ab	70.0	l
ba	70.0	l
8j	70.0	r
j8	70.0	r
5q	70.0	l
q5	70.0	l
,;	70.0	r
;,	70.0	r
bx	70.0	l
xb	70.0	l
8p	70.0	r
p8	70.0	r
gq	70.0	l
qg	70.0	l
ax	70.0	l
xa	70.0	l
1e	70.0	l
e1	70.0	l
0i	70.0	r
i0	70.0	r
0n	70.0	r
n0	70.0	r
[y	70.0	r
y[	70.0	r
0m	75.0	r
m0	75.0	r
7o	75.0	r
o7	75.0	r
3w	75.0	l
w3	75.0	l
dx	75.0	l
xd	75.0	l
,l	75.0	r
l,	75.0	r
hp	75.0	r
ph	75.0	r
qv	75.0	l
vq	75.0	l
1f	75.0	l
f1	75.0	l
2f	75.0	l
f2	75.0	l
qt	75.0	l
tq	75.0	l
bd	75.0	l
db	75.0	l
cg	75.0	l
gc	75.0	l
dt	75.0	l
td	75.0	l
dr	75.0	l
rd	75.0	l
,j	75.0	r
j,	75.0	r
cf	75.0	l
fc	75.0	l
2g	75.0	l
g2	75.0	l
4e	75.0	l
e4	75.0	l
68	80.0	r
86	80.0	r
1t	80.0	l
t1	80.0	l
py	80.0	r
yp	80.0	r
bw	80.0	l
wb	80.0	l
.h	80.0	r
h.	80.0	r
7p	85.0	r
p7	85.0	r
5a	85.0	l
a5	85.0	l
tz	85.0	l
zt	85.0	l
/u	85.0	r
u/	85.0	r
be	85.0	l
eb	85.0	l
3g	85.0	l
g3	85.0	l
4a	90.0	l
a4	90.0	l
5e	90.0	l
e5	90.0	l
ly	90.0	r
yl	90.0	r
06	90.0	r
60	90.0	r
9n	90.0	r
n9	90.0	r
9m	90.0	r
m9	90.0	r
tx	90.0	l
xt	90.0	l
'8	90.0	r
8'	90.0	r
7[	90.0	r
[7	90.0	r
9[	90.0	r
[9	90.0	r
[l	90.0	r
l[	90.0	r
'y	90.0	r
y'	90.0	r
bq	100.0	l
qb	100.0	l
6o	100.0	r
o6	100.0	r
5z	100.0	l
z5	100.0	l
5s	100.0	l
s5	100.0	l
'.	100.0	r
.'	100.0	r
66	110.0	r
11	110.0	l
77	110.0	r
22	110.0	l
88	110.0	r
33	110.0	l
99	110.0	r
44	110.0	l
00	110.0	r
55	110.0	l
yy	110.0	r
qq	110.0	l
uu	110.0	r
ww	110.0	l
ii	110.0	r
ee	110.0	l
oo	110.0	r
rr	110.0	l
pp	110.0	r
tt	110.0	l
hh	110.0	r
aa	110.0	l
jj	110.0	r
ss	110.0	l
kk	110.0	r
dd	110.0	l
ll	110.0	r
ff	110.0	l
;;	110.0	r
gg	110.0	l
nn	110.0	r
zz	110.0	l
mm	110.0	r
xx	110.0	l
,,	110.0	r
cc	110.0	l
..	110.0	r
vv	110.0	l
//	110.0	r
bb	110.0	l
''	110.0	r
[[	110.0	r
ik	115.0	r
ki	115.0	r
cd	115.0	l
dc	115.0	l
8i	115.0	r
i8	115.0	r
de	115.0	l
ed	115.0	l
jm	115.0	r
mj	115.0	r
3e	115.0	l
e3	115.0	l
jn	115.0	r
nj	115.0	r
fr	115.0	l
rf	115.0	l
hn	115.0	r
nh	115.0	r
fv	115.0	l
vf	115.0	l
mn	115.0	r
nm	115.0	r
4r	115.0	l
r4	115.0	l
7u	115.0	r
u7	115.0	r
gt	115.0	l
tg	115.0	l
ju	115.0	r
uj	115.0	r
bg	115.0	l
gb	115.0	l
hj	115.0	r
jh	115.0	r
5t	115.0	l
t5	115.0	l
,k	115.0	r
k,	115.0	r
45	115.0	l
54	115.0	l
uy	115.0	r
yu	115.0	r
rt	115.0	l
tr	115.0	l
hy	115.0	r
yh	115.0	r
bv	115.0	l
vb	115.0	l
67	115.0	r
76	115.0	r
fg	115.0	l
gf	115.0	l
6u	115.0	r
u6	115.0	r
2w	115.0	l
w2	115.0	l
6y	115.0	r
y6	115.0	r
sw	115.0	l
ws	115.0	l
hu	115.0	r
uh	115.0	r
sx	116.0	l
xs	116.0	l
lo	116.0	r
ol	116.0	r
5r	116.0	l
r5	116.0	l
.l	116.0	r
l.	116.0	r
gv	116.0	l
vg	116.0	l
hm	116.0	r
mh	116.0	r
ft	116.0	l
tf	116.0	l
9o	116.0	r
o9	116.0	r
az	116.0	l
za	116.0	l
8k	116.0	r
k8	116.0	r
ce	116.0	l
ec	116.0	l
8n	116.0	r
n8	116.0	r
3d	116.0	l
d3	116.0	l
8m	116.0	r
m8	116.0	r
4t	116.0	l
t4	116.0	l
nu	116.0	r
un	116.0	r
12	116.0	l
21	116.0	l
mu	116.0	r
um	116.0	r
qw	116.0	l
wq	116.0	l
,i	116.0	r
i,	116.0	r
1q	116.0	l
q1	116.0	l
op	116.0	r
po	116.0	r
3c	116.0	l
c3	116.0	l
lp	116.0	r
pl	116.0	r
qs	116.0	l
sq	116.0	l
/;	116.0	r
;/	116.0	r
1w	116.0	l
w1	116.0	l
09	116.0	r
90	116.0	r
2q	116.0	l
q2	116.0	l
jy	116.0	r
yj	116.0	r
gr	116.0	l
rg	116.0	l
7y	116.0	r
y7	116.0	r
3s	118.0	l
s3	118.0	l
0p	118.0	r
p0	118.0	r
ex	118.0	l
xe	118.0	l
9p	118.0	r
p9	118.0	r
bf	118.0	l
fb	118.0	l
0o	118.0	r
o0	118.0	r
4f	118.0	l
f4	118.0	l
.o	118.0	r
o.	118.0	r
rv	118.0	l
vr	118.0	l
9l	118.0	r
l9	118.0	r
cw	118.0	l
wc	118.0	l
,8	118.0	r
8,	118.0	r
cr	118.0	l
rc	118.0	l
9k	118.0	r
k9	118.0	r
4d	118.0	l
d4	118.0	l
,o	118.0	r
o,	118.0	r
rx	118.0	l
xr	118.0	l
.i	118.0	r
i.	118.0	r
5d	118.0	l
d5	118.0	l
8l	118.0	r
l8	118.0	r
ct	118.0	l
tc	118.0	l
ku	118.0	r
uk	118.0	r
tv	120.0	l
vt	120.0	l
.;	120.0	r
;.	120.0	r
bt	120.0	l
tb	120.0	l
,u	120.0	r
u,	120.0	r
5f	120.0	l
